suburb,state,postcode,property_type,buy_or_rent,bedrooms,available_in_the_past_month,in_the_past_12_months,median_time_on_market,interested,rental_yield,Median__price
lillicur,vic,3371,house,buy,all,0 houses ,2 sold ,176 days ,0 buyers ,– ,–
red-lion,vic,3371,house,buy,all,0 houses ,2 sold ,45 days ,0 buyers ,– ,–
evansford,vic,3371,house,buy,all,0 houses ,2 sold ,29 days ,0 buyers ,– ,–
burnbank,vic,3371,house,buy,all,0 houses ,1 sold ,139 days ,0 buyers ,– ,–
talbot,vic,3371,house,buy,all,5 houses ,8 sold ,30 days ,208 buyers ,6.3% ,–
amherst,vic,3371,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
dunach,vic,3371,house,buy,all,0 houses ,2 sold ,126 days ,0 buyers ,– ,–
trawalla,vic,3373,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
lake-goldsmith,vic,3373,house,buy,all,0 houses ,1 sold ,85 days ,0 buyers ,– ,–
nerring,vic,3373,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
main-lead,vic,3373,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
cross-roads,vic,3373,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
beaufort,vic,3373,house,buy,all,12 houses ,38 sold ,56 days ,539 buyers ,4.8% ,"$417,500"
stockyard-hill,vic,3373,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
buangor,vic,3375,house,buy,all,0 houses ,2 sold ,– ,0 buyers ,– ,–
ballyrogan,vic,3375,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
rocky-point,vic,3377,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
