suburb,state,postcode,property_type,buy_or_rent,bedrooms,available_in_the_past_month,in_the_past_12_months,median_time_on_market,interested,rental_yield,Median__price
yatchaw,vic,3301,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
croxton-east,vic,3301,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
mount-napier,vic,3301,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
bochara,vic,3301,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
tahara,vic,3301,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
tarrington,vic,3301,house,buy,all,3 houses ,5 sold ,159 days ,49 buyers ,3.4% ,–
hensley-park,vic,3301,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
morgiana,vic,3301,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
yulecart,vic,3301,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
buckley-swamp,vic,3301,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
grassdale,vic,3302,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
condah,vic,3303,house,buy,all,0 houses ,3 sold ,37 days ,0 buyers ,– ,–
wallacedale,vic,3303,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,7.8% ,–
hotspur,vic,3303,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
heywood,vic,3304,house,buy,all,19 houses ,30 sold ,48 days ,393 buyers ,4.9% ,"$333,750"
drumborg,vic,3304,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
mumbannar,vic,3304,house,buy,all,1 houses ,1 sold ,– ,100 buyers ,– ,–
myamyn,vic,3304,house,buy,all,1 houses ,1 sold ,– ,76 buyers ,– ,–
winnap,vic,3304,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
bessiebelle,vic,3304,house,buy,all,0 houses ,1 sold ,17 days ,0 buyers ,2.5% ,–
cape-bridgewater,vic,3305,house,buy,all,1 houses ,0 sold ,60 days ,42 buyers ,1.6% ,–
bolwarra,vic,3305,house,buy,all,12 houses ,2 sold ,222 days ,175 buyers ,3.1% ,–
gorae,vic,3305,house,buy,all,3 houses ,1 sold ,199 days ,74 buyers ,3.2% ,–
allestree,vic,3305,house,buy,all,1 houses ,1 sold ,– ,24 buyers ,4.5% ,–
portland-north,vic,3305,house,buy,all,9 houses ,11 sold ,66 days ,211 buyers ,4.9% ,"$455,000"
dutton-way,vic,3305,house,buy,all,1 houses ,6 sold ,55 days ,20 buyers ,2.2% ,–
heathmere,vic,3305,house,buy,all,6 houses ,1 sold ,20 days ,94 buyers ,4.3% ,–
casterton,vic,3311,house,buy,all,35 houses ,24 sold ,75 days ,372 buyers ,5.5% ,"$295,000"
corndale,vic,3311,house,buy,all,1 houses ,0 sold ,– ,14 buyers ,– ,–
bahgallah,vic,3312,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
lake-mundi,vic,3312,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
dunrobin,vic,3312,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
powers-creek,vic,3312,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
wando-vale,vic,3312,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
carapook,vic,3312,house,buy,all,0 houses ,1 sold ,243 days ,0 buyers ,6.6% ,–
brimboal,vic,3312,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
killara,vic,3312,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
strathdownie,vic,3312,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
chetwynd,vic,3312,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
dorodong,vic,3312,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
dergholm,vic,3312,house,buy,all,2 houses ,0 sold ,– ,20 buyers ,– ,–
wando-bridge,vic,3312,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
mooralla,vic,3314,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
glenisla,vic,3314,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
bulart,vic,3314,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
tarrenlea,vic,3315,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
tahara-bridge,vic,3315,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
tarrayoukyan,vic,3315,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
gritjurk,vic,3315,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
brit-brit,vic,3315,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
coleraine,vic,3315,house,buy,all,9 houses ,22 sold ,66 days ,242 buyers ,6.3% ,"$282,000"
coojar,vic,3315,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
melville-forest,vic,3315,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
gringegalgona,vic,3315,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
culla,vic,3315,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
kadnook,vic,3318,house,buy,all,0 houses ,2 sold ,– ,0 buyers ,5.9% ,–
connewirricoo,vic,3318,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
ullswater,vic,3318,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
langkoop,vic,3318,house,buy,all,1 houses ,2 sold ,– ,26 buyers ,– ,–
benayeo,vic,3319,house,buy,all,0 houses ,0 sold ,36 days ,0 buyers ,– ,–
inverleigh,vic,3321,house,buy,all,11 houses ,16 sold ,22 days ,970 buyers ,2.4% ,"$1,422,500"
wingeel,vic,3321,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
cressy,vic,3322,house,buy,all,0 houses ,4 sold ,17 days ,0 buyers ,2.9% ,–
duverney,vic,3323,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
mount-bute,vic,3324,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
mingay,vic,3324,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
derrinallum,vic,3325,house,buy,all,2 houses ,3 sold ,42 days ,64 buyers ,– ,–
vite-vite-north,vic,3325,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
vite-vite,vic,3325,house,buy,all,0 houses ,1 sold ,25 days ,0 buyers ,– ,–
teesdale,vic,3328,house,buy,all,15 houses ,26 sold ,39 days ,661 buyers ,2.9% ,"$900,000"
shelford,vic,3329,house,buy,all,3 houses ,6 sold ,40 days ,99 buyers ,– ,–
barunah-park,vic,3329,house,buy,all,1 houses ,0 sold ,– ,26 buyers ,1.2% ,–
she-oaks,vic,3331,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
maude,vic,3331,house,buy,all,2 houses ,4 sold ,15 days ,324 buyers ,– ,–
russells-bridge,vic,3331,house,buy,all,0 houses ,1 sold ,37 days ,0 buyers ,– ,–
gheringhap,vic,3331,house,buy,all,0 houses ,2 sold ,32 days ,0 buyers ,– ,–
bannockburn,vic,3331,house,buy,all,33 houses ,85 sold ,48 days ,959 buyers ,3.6% ,"$764,000"
lethbridge,vic,3332,house,buy,all,3 houses ,17 sold ,37 days ,324 buyers ,2.6% ,"$917,000"
meredith,vic,3333,house,buy,all,5 houses ,8 sold ,48 days ,453 buyers ,3.2% ,–
bungal,vic,3334,house,buy,all,0 houses ,1 sold ,241 days ,0 buyers ,3.8% ,–
elaine,vic,3334,house,buy,all,1 houses ,5 sold ,61 days ,8 buyers ,– ,–
mount-doran,vic,3334,house,buy,all,0 houses ,1 sold ,31 days ,0 buyers ,– ,–
morrisons,vic,3334,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
rockbank,vic,3335,house,buy,all,43 houses ,76 sold ,54 days ,794 buyers ,3.5% ,"$621,250"
melton,vic,3337,house,buy,all,68 houses ,170 sold ,38 days ,1518 buyers ,3.6% ,"$501,250"
melton-west,vic,3337,house,buy,all,53 houses ,162 sold ,28 days ,987 buyers ,3.6% ,"$550,500"
toolern-vale,vic,3337,house,buy,all,5 houses ,6 sold ,62 days ,101 buyers ,– ,–
brookfield,vic,3338,house,buy,all,67 houses ,183 sold ,26 days ,1154 buyers ,3.5% ,"$580,000.00"
eynesbury,vic,3338,house,buy,all,12 houses ,41 sold ,36 days ,474 buyers ,3.4% ,"$705,000"
melton-south,vic,3338,house,buy,all,86 houses ,219 sold ,29 days ,1281 buyers ,3.5% ,"$520,000"
staughton-vale,vic,3340,house,buy,all,1 houses ,0 sold ,– ,330 buyers ,– ,–
balliang-east,vic,3340,house,buy,all,0 houses ,2 sold ,44 days ,0 buyers ,– ,–
hopetoun-park,vic,3340,house,buy,all,2 houses ,6 sold ,6 days ,104 buyers ,2.5% ,–
bacchus-marsh,vic,3340,house,buy,all,64 houses ,148 sold ,35 days ,1080 buyers ,3.6% ,"$662,500"
merrimu,vic,3340,house,buy,all,2 houses ,5 sold ,25 days ,44 buyers ,1.8% ,–
parwan,vic,3340,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,1.9% ,–
coimadai,vic,3340,house,buy,all,2 houses ,3 sold ,95 days ,184 buyers ,– ,–
korobeit,vic,3341,house,buy,all,0 houses ,2 sold ,19 days ,3 buyers ,– ,–
dales-creek,vic,3341,house,buy,all,3 houses ,9 sold ,73 days ,213 buyers ,– ,–
myrniong,vic,3341,house,buy,all,2 houses ,7 sold ,48 days ,45 buyers ,– ,–
greendale,vic,3341,house,buy,all,3 houses ,8 sold ,40 days ,301 buyers ,2.8% ,–
colbrook,vic,3342,house,buy,all,1 houses ,0 sold ,– ,11 buyers ,– ,–
beremboke,vic,3342,house,buy,all,1 houses ,5 sold ,19 days ,43 buyers ,– ,–
ballan,vic,3342,house,buy,all,29 houses ,37 sold ,44 days ,926 buyers ,3.3% ,"$661,000"
mount-wallace,vic,3342,house,buy,all,1 houses ,1 sold ,– ,5 buyers ,– ,–
bunding,vic,3342,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
durdidwarrah,vic,3342,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
gordon,vic,3345,house,buy,all,14 houses ,16 sold ,61 days ,438 buyers ,3.1% ,"$825,000"
brown-hill,vic,3350,house,buy,all,39 houses ,59 sold ,29 days ,1041 buyers ,3.5% ,"$630,000.00"
lake-wendouree,vic,3350,house,buy,all,25 houses ,36 sold ,24 days ,1032 buyers ,2.3% ,"$1,100,000"
bakery-hill,vic,3350,house,buy,all,0 houses ,1 sold ,108 days ,0 buyers ,3.5% ,–
mount-pleasant,vic,3350,house,buy,all,20 houses ,47 sold ,34 days ,826 buyers ,3.7% ,"$535,000"
ballarat-central,vic,3350,house,buy,all,60 houses ,96 sold ,35 days ,2065 buyers ,3.0% ,"$705,000"
mount-helen,vic,3350,house,buy,all,21 houses ,53 sold ,36 days ,802 buyers ,3.4% ,"$685,000"
nerrina,vic,3350,house,buy,all,5 houses ,19 sold ,45 days ,332 buyers ,3.3% ,"$825,000.00"
mount-clear,vic,3350,house,buy,all,22 houses ,62 sold ,30 days ,618 buyers ,3.9% ,"$557,750"
canadian,vic,3350,house,buy,all,21 houses ,60 sold ,33 days ,554 buyers ,3.8% ,"$554,850"
invermay-park,vic,3350,house,buy,all,11 houses ,17 sold ,44 days ,437 buyers ,3.5% ,"$720,000.00"
ballarat-east,vic,3350,house,buy,all,51 houses ,119 sold ,22 days ,1492 buyers ,3.7% ,"$530,000"
newington,vic,3350,house,buy,all,18 houses ,30 sold ,44 days ,497 buyers ,3.0% ,"$672,500"
chepstowe,vic,3351,house,buy,all,2 houses ,0 sold ,– ,65 buyers ,– ,–
carngham,vic,3351,house,buy,all,2 houses ,3 sold ,19 days ,59 buyers ,– ,–
springdallah,vic,3351,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
streatham,vic,3351,house,buy,all,2 houses ,3 sold ,50 days ,25 buyers ,– ,–
newtown,vic,3351,house,buy,all,0 houses ,0 sold ,32 days ,0 buyers ,– ,–
snake-valley,vic,3351,house,buy,all,3 houses ,13 sold ,23 days ,297 buyers ,4.6% ,"$460,000"
bo-peep,vic,3351,house,buy,all,0 houses ,1 sold ,15 days ,0 buyers ,– ,–
westmere,vic,3351,house,buy,all,0 houses ,1 sold ,30 days ,0 buyers ,– ,–
smythes-creek,vic,3351,house,buy,all,18 houses ,28 sold ,31 days ,507 buyers ,4.0% ,"$908,899"
mount-emu,vic,3351,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
wallinduc,vic,3351,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
hillcrest,vic,3351,house,buy,all,0 houses ,1 sold ,14 days ,0 buyers ,4.9% ,–
smythesdale,vic,3351,house,buy,all,7 houses ,12 sold ,65 days ,291 buyers ,3.0% ,"$779,000"
nintingbool,vic,3351,house,buy,all,1 houses ,2 sold ,42 days ,16 buyers ,– ,–
scarsdale,vic,3351,house,buy,all,7 houses ,7 sold ,33 days ,334 buyers ,3.5% ,–
pitfield,vic,3351,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
rokewood-junction,vic,3351,house,buy,all,1 houses ,2 sold ,13 days ,21 buyers ,– ,–
mininera,vic,3351,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
piggoreet,vic,3351,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
haddon,vic,3351,house,buy,all,6 houses ,14 sold ,21 days ,263 buyers ,2.5% ,"$920,000"
mount-rowan,vic,3352,house,buy,all,1 houses ,6 sold ,56 days ,12 buyers ,2.1% ,–
weatherboard,vic,3352,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
waubra,vic,3352,house,buy,all,1 houses ,5 sold ,34 days ,98 buyers ,5.4% ,–
blowhard,vic,3352,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
dereel,vic,3352,house,buy,all,1 houses ,6 sold ,41 days ,92 buyers ,2.7% ,–
wattle-flat,vic,3352,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
navigators,vic,3352,house,buy,all,0 houses ,6 sold ,72 days ,0 buyers ,– ,–
bolwarrah,vic,3352,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
mount-egerton,vic,3352,house,buy,all,3 houses ,13 sold ,64 days ,142 buyers ,2.3% ,"$765,000"
lamplough,vic,3352,house,buy,all,0 houses ,0 sold ,53 days ,0 buyers ,– ,–
langi-kal-kal,vic,3352,house,buy,all,0 houses ,1 sold ,47 days ,0 buyers ,– ,–
bungaree,vic,3352,house,buy,all,2 houses ,1 sold ,23 days ,32 buyers ,– ,–
magpie,vic,3352,house,buy,all,3 houses ,4 sold ,28 days ,95 buyers ,– ,–
clarendon,vic,3352,house,buy,all,2 houses ,1 sold ,20 days ,94 buyers ,3.6% ,–
millbrook,vic,3352,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
yendon,vic,3352,house,buy,all,1 houses ,1 sold ,27 days ,35 buyers ,– ,–
garibaldi,vic,3352,house,buy,all,2 houses ,0 sold ,– ,136 buyers ,– ,–
addington,vic,3352,house,buy,all,0 houses ,3 sold ,14 days ,0 buyers ,– ,–
wallace,vic,3352,house,buy,all,1 houses ,4 sold ,19 days ,28 buyers ,– ,–
mount-mercer,vic,3352,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
durham-lead,vic,3352,house,buy,all,2 houses ,3 sold ,18 days ,127 buyers ,– ,–
corindhap,vic,3352,house,buy,all,3 houses ,0 sold ,– ,66 buyers ,– ,–
grenville,vic,3352,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
napoleons,vic,3352,house,buy,all,3 houses ,12 sold ,54 days ,92 buyers ,– ,"$932,500"
pootilla,vic,3352,house,buy,all,1 houses ,1 sold ,15 days ,133 buyers ,2.1% ,–
burrumbeet,vic,3352,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,2.8% ,–
dunnstown,vic,3352,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
sulky,vic,3352,house,buy,all,0 houses ,2 sold ,38 days ,0 buyers ,1.6% ,–
scotchmans-lead,vic,3352,house,buy,all,0 houses ,1 sold ,119 days ,0 buyers ,– ,–
cambrian-hill,vic,3352,house,buy,all,0 houses ,2 sold ,121 days ,0 buyers ,– ,–
windermere,vic,3352,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
springbank,vic,3352,house,buy,all,1 houses ,0 sold ,– ,21 buyers ,– ,–
brewster,vic,3352,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
invermay,vic,3352,house,buy,all,5 houses ,9 sold ,38 days ,411 buyers ,2.9% ,–
learmonth,vic,3352,house,buy,all,6 houses ,4 sold ,68 days ,285 buyers ,– ,–
mollongghip,vic,3352,house,buy,all,0 houses ,2 sold ,9 days ,0 buyers ,– ,–
leigh-creek,vic,3352,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
wendouree,vic,3355,house,buy,all,62 houses ,174 sold ,32 days ,1046 buyers ,3.9% ,"$480,000"
mitchell-park,vic,3355,house,buy,all,4 houses ,17 sold ,17 days ,111 buyers ,4.4% ,"$495,000"
lake-gardens,vic,3355,house,buy,all,4 houses ,27 sold ,22 days ,175 buyers ,3.2% ,"$720,000"
delacombe,vic,3356,house,buy,all,30 houses ,81 sold ,25 days ,712 buyers ,3.6% ,"$575,000"
sebastopol,vic,3356,house,buy,all,62 houses ,181 sold ,22 days ,1172 buyers ,4.0% ,"$465,000"
happy-valley,vic,3360,house,buy,all,1 houses ,2 sold ,43 days ,46 buyers ,3.7% ,–
mannibadar,vic,3360,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
mount-beckworth,vic,3363,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
creswick-north,vic,3363,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
dean,vic,3363,house,buy,all,1 houses ,0 sold ,– ,25 buyers ,3.7% ,–
tourello,vic,3363,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
creswick,vic,3363,house,buy,all,20 houses ,63 sold ,30 days ,708 buyers ,3.7% ,"$565,000"
glendaruel,vic,3363,house,buy,all,0 houses ,0 sold ,8 days ,0 buyers ,– ,–
barkstead,vic,3364,house,buy,all,0 houses ,1 sold ,13 days ,0 buyers ,– ,–
mount-prospect,vic,3364,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
ascot,vic,3364,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
broomfield,vic,3364,house,buy,all,1 houses ,2 sold ,117 days ,23 buyers ,4.2% ,–
glendonald,vic,3364,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
rocklyn,vic,3364,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,2.9% ,–
smeaton,vic,3364,house,buy,all,3 houses ,4 sold ,39 days ,371 buyers ,– ,–
blampied,vic,3364,house,buy,all,3 houses ,2 sold ,183 days ,43 buyers ,3.1% ,–
newlyn-north,vic,3364,house,buy,all,1 houses ,0 sold ,– ,8 buyers ,– ,–
campbelltown,vic,3364,house,buy,all,0 houses ,1 sold ,– ,0 buyers ,– ,–
kingston,vic,3364,house,buy,all,2 houses ,4 sold ,85 days ,152 buyers ,– ,–
lawrence,vic,3364,house,buy,all,0 houses ,1 sold ,226 days ,0 buyers ,– ,–
clunes,vic,3370,house,buy,all,16 houses ,39 sold ,59 days ,768 buyers ,3.2% ,"$520,000"
ullina,vic,3370,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
glengower,vic,3370,house,buy,all,0 houses ,0 sold ,– ,0 buyers ,– ,–
